Responsable,"Referencia (Autores, titulo, revista/congreso, numero volumen)",Tipo (revista/congreso),Actividad,Publicado/Enviado,Enlace,Notas,Fecha subida,Fecha aceptación
Isaac,"D. Molina et al. ""¿Computación Evolutiva para el Diseño y Mejora de Sistemas Inteligentes de Propósito General: Estudio y Perspectivas?"" Actas del XVI Congreso Español de Metaheurísticas, Algoritmos Evolutivos y Bioinspirados (MAEB 2025) 28-30 de mayo, Donostia/San Sebastián ISBN: 978-84-1319-656-5, págs. 350-353 https://dialnet.unirioja.es/servlet/articulo?codigo=10321250",Congreso,A3.3.Explicando IAPG: AutoML y Few-shot  Learning,Publicado, https://addi.ehu.eus/handle/10810/74080,"Congreso XVI Congreso Español de Metaheurísticas, Algoritmos Evolutivos y Bioinspirados, MAEB 2025",,28/05/2025
Isaac,"Molina, D., et al. . Evolutionary computation for the design and enrichment of general-purpose artificial intelligence systems: Survey and prospects. IEEE Transactions on Evolutionary Computation. https://doi.org/10.1109/TEVC.2025.3530096",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Publicado,https://ieeexplore.ieee.org/abstract/document/10858708,,,30/01/2025
Natalia,"Darian Fernández-Gutiérrez, Rafael Bello, Marilyn Bello and Natalia Díaz-Rodríguez. Low-cost concept-based localized explanations: How far can we get with training-free approaches?. IEEE CAI 2026",Congreso,A2.2: Hacia el desarrollo de modelos generativos explicables,Enviado,,,,
Natalia,"David Mendez, Gianpaolo Bontempo, Elisa Ficarra, Roberto Confalonieri, and Natalia Díaz-Rodríguez∗. ""CUBIC: Concept Embeddings for Unsupervised Bias Identification using VLMs""",Congreso,A2.2: Hacia el desarrollo de modelos generativos explicables,Enviado,,,15/01/2026,
Jacinto,"Domíngez-Rull, J., Rodrigo-Comino, J. & Herrera, F. Predictive Mapping of Vineyard Post-Fire Dynamics using ExG-Supervised U-Net and Ultra-High-Resolution RGB UAV Imagery. 2026 IEEE Conference on Artificial Intelligence (CAI)",Congreso,A2.2: Hacia el desarrollo de modelos generativos explicables,Enviado,,Rejected,15/12/2025,
Coral,"Padial-Fuillerat, E., Martínez-Manjón, J. E., Zwir, I., Arroyo, M. J., Blázquez-Sánchez, M., Rodríguez-Temporal, D., Rodríguez, B., Mancera, L., & del Val, C. (2026). Toward robust machine learning models for MALDI-TOF MS: Novel approaches for Mycobacterium abscessus subspecies identification. Journal of Proteome Research, 25(3), 1305–1318. https://doi.org/10.1021/acs.jproteome.5c00534",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Publicado,https://pubs.acs.org/doi/10.1021/acs.jproteome.5c00534,,,9/02/2026
,"Sánchez, E., Calderón, R., & Herrera, F.. Artificial intelligence adoption in SMEs: Survey based on TOE–DOI framework, primary methodology and challenges. Technological Forecasting and Social Challenges. Applied Sciences, 2025, Vol. 15, nº. 12, pp. 6465-1 - 6465-43.  https://doi.org/10.3390/app15126465",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Publicado,https://www.mdpi.com/2076-3417/15/12/6465,,,
,"Herrera, F. (2025). Reflections and attentiveness on eXplainable Artificial Intelligence (XAI): The journey ahead from criticisms to human–AI collaboration. Information Fusion. Volume 121, September 2025, 103133. https://doi.org/10.1016/j.inffus.2025.103133 ; https://www.sciencedirect.com/science/article/abs/pii/S1566253525002064",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Publicado,https://www.sciencedirect.com/science/article/pii/S1566253525002064,,,
Nacho,"Aguilera-Martos, I., Herrera-Poyatos, A., Luengo, J., & Herrera, F. (2026). Local attention mechanism: Boosting the transformer architecture for long-sequence time series forecasting. Machine Intelligence Research. https://arxiv.org/abs/2410.03805 ",Revista,A2.4: Proporcionando robustez a modelos de deep learning,Publicado,10.1007/s11633-026-1660-y,Aceptado,30/07/2025,18/03/2026
Oroel,"Ipas, O., Martín, I. S., Gomez-Trenado, G., Triguero, I., & Romero-Zaliz, R. Exploring TabPFNv2 as a Novel Baseline for ADMET Prediction in Drug Discovery. Presented poster in the XVIII Brazilian Symposium on Bioinformatics (BSB) 2025. DOI 10.5281/zenodo.17468021 (Poster) https://doi: 10.5281/zenodo.17468021",Congreso,A3.3.Explicando IAPG: AutoML y Few-shot  Learning,Publicado,https://bsb.sbc.org.br/2025/wp-content/uploads/sites/9/2025/09/Exploring-TabPFNv2-as-a-Novel-Baseline-for-ADMET-Prediction-in-Drug-Discovery.pdf,,31/08/2025,30/09/2025
Irene,"Irene Trigueros-Lorca, Leonardo Concepción, Christian Wagner, Isaac Triguero, Daniel Molina (2026). Fine-Grained Distillation via Intermediate Homogeneous Block Leverage: A Paradigm for Efficient Learning with Scarce Data",Congreso,A3.3.Explicando IAPG: AutoML y Few-shot  Learning,Enviado,,Under review (IJCNN),31/01/2026,
Jaime,"Jaime Uclés, Kristina Stemikovskaya, Angeles Ballesteros-Duperón, Lina M. Cómbita, Rosario Rueda, Alberto Fernandez, Isaac Triguero. Exploring Representation Learning for Developmental Infant EEG. 2026 IEEE Conference on Artificial Intelligence (CAI)",Congreso,A3.2: Algoritmos de IAPG para aprender a explicar,Enviado,,Aceptado (pero aún no publicado),30/01/2026,11/02/2026
Jesús,"Jesús López-Montilla, Alberto Fernandez, Francisco Lara; ""The Paradigmatic Crisis of AI Discrimination: A Thousand Variables and No Protected Groups""",Revista,A2.5: Mitigación de sesgos y brecha de responsabilidad: de la IA confiable a las máquinas éticas,Enviado,,Under review,20/12/2025,
,"Muñoz-Ordóñez, J., Cobos, C., Vidal-Rojas, J. C., & Herrera, F. . A maturity model for practical explainability in artificial intelligence-based applications: Integrating Analysis and Evaluation (MM4XAI-AE) models. Software Quality Journal. Volume 2025, Issue 1, 4934696 https://doi.org/10.1155/int/4934696; https://onlinelibrary.wiley.com/doi/full/10.1155/int/4934696",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Publicado,https://onlinelibrary.wiley.com/doi/10.1155/int/4934696,,,
Paco Lara,"Lara, F. & del Valle, J.I. Are you sure this is what you really want? Conversational recommender systems for enhancing human autonomy. Science and Engineering Ethics",Revista,,Enviado,,Under review,12/03/2026,
Paco Lara,"Lara, F. Personal autonomy as an ethical foundation for opaque algorithmic decision systems. AI Ethics 6, 14 (2026). https://doi.org/10.1007/s43681-025-00889-0",Revista,,Publicado,https://link.springer.com/article/10.1007/s43681-025-00889-0,,18/02/2025,18/09/2025
Paco Lara,"Lopez-Montilla, J.; Fernández, A. & Lara, F. The paradigmatic crisis of AI discrimination: A thousand variables and no protected groups. Ai & Society",Revista,,Enviado,,Under review,19/12/2025,
Coral,"Padilla, L., del Val, C., Neidre, D. B., Kokenge, A. S., Martinez, J. E., Teixeira, A. L., Zwir, I., & de Erausquin, G. A. (2025). In silico prediction of the impact of genomic variations in the small conductance calcium activated potassium channel SK3 structure and function. Frontiers in Neuroscience, 19, 1631536. https://doi.org/10.3389/fnins.2025.1631536",Revista,,Publicado,https://pubs.acs.org/doi/10.1021/acs.jproteome.5c00534,,,9/02/2026
Iván Sevillano,"Bello, M., Bello, R., García, MM. et al. A Three-level Framework for LLM-enhanced Explainable AI: From Technical Explanations to Natural Language. Inf Syst Front https://doi.org/10.1007/s10796-025-10668-1; https://link.springer.com/article/10.1007/s10796-025-10668-1
",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Publicado,https://doi.org/10.1007/s10796-025-10668-1,,6/06/2025,22/12/2025
isaac,"Alkhulaifi, N., Bowler, A. L., Pekaslan, D., Watson, N. J., & Triguero, I. (2026). AutoEnergy: An automated feature engineering algorithm for energy consumption forecasting with AutoML. Knowledge-Based Systems (KBS), Volume 329, Part A,2025,114300, ISSN 0950-7051; https://doi.org/10.1016/j.knosys.2025.114300; (https://www.sciencedirect.com/science/article/pii/S0950705125013413)",Revista,A3.3.Explicando IAPG: AutoML y Few-shot  Learning,Publicado,https://www.sciencedirect.com/science/article/pii/S0950705125013413,,,4/11/2025
Oier,"O. Mentxaka, E. Nuñez, E. Gomez, F. Herrera; Transformative AI in Critical Infrastructures: Safe, Secure and Governable Systems",Revista,A2.5: Mitigación de sesgos y brecha de responsabilidad: de la IA confiable a las máquinas éticas,Enviado,,Under review,8/1/2026,
Oier,"O. Mentxaka, J. López-Montilla, D. Urrutia-Onate, H. Almazrouei, F. Herrera; The problems arising from the lack of explainability in AI governance: The RisCanvi use case. ""AI Society""",Revista,A2.5: Mitigación de sesgos y brecha de responsabilidad: de la IA confiable a las máquinas éticas,Enviado,,Under review,27/11/2025,
Oier,"O. Mentxaka, N. Díaz-Rodríguez, M. Coeckelbergh, M. López de Prado, E. Gómez, D. Fernández Llorca, E. Herrera-Viedma1, F. Herrera; Aligning Trustworthy AI with Democracy: A Dual Taxonomy of Opportunities and Risks; IEEE Transactions on Systems, Man, and Cybernetics: Systems",Revista,A2.5: Mitigación de sesgos y brecha de responsabilidad: de la IA confiable a las máquinas éticas,Enviado,https://arxiv.org/abs/2505.13565,Under review,12/05/2025,
Coral,"Padilla L, Del Val C, Neidre DB, Kokenge AS, Martinez JE, Teixeira AL, Zwir I and de Erausquin GA (2025). In silico prediction of the impact of genomic variations in the small conductance calcium activated potassium channel SK3 structure and function. Front. Neurosci. 19:1631536. doi: 10.3389/fnins.2025.1631536",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Publicado,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2025.1631536/full,,,10/10/2025
Jacinto,"Rodrigo-Comino, J., Domínguez-Rull, J., Xouris, C., Kalogeras, A., Cerdà, A. & Herrera, F. Hybrid interpretable-deep learning workflow for vineyard wildfire damage mapping from UAV-RGB imagery. The Photogrammetric Record",Revista,A2.2: Hacia el desarrollo de modelos generativos explicables,Enviado,,Aceptado,5/12/2025,20/03/2026
Nuria,"Rodríguez-Barroso, N., García-Márquez, M., Luzón, M. V., & Herrera, F. (2026). From Privacy to Trust in the Agentic Era: A Taxonomy of Challenges in Trustworthy Federated Learning Through the Lens of Trust Report 2.0. Information Fusion, 104236.",Revista,A2.3: IA responsable y gobernable con Aprendizaje Federado y Blockchain como mecanismos de privacidad y trazabilidad,Publicado,https://www.sciencedirect.com/science/article/pii/S1566253526001156,,21/07/2025,11/02/2026
Nuria,"Rodríguez-Barroso, N., García-Márquez, M., Luzón, M. V., Herrera, F; From Privacy to Trust: Challenges Taxonomy and Blueprint for Trustworthy Federated Learning (2026), Information Fusion.",Revista,A2.3: IA responsable y gobernable con Aprendizaje Federado y Blockchain como mecanismos de privacidad y trazabilidad,Enviado,,,21/07/2025,
Nuria ,"Rodríguez-Barroso, N., Jiménez-López, D., Luzón, M. V. & Herrera, F. ""Do Deep Learning Models Keep a Privacy Signature? Auditing Differential Privacy from Weights"" IEEE Computational Intelligence Magazine",Revista,A2.3: IA responsable y gobernable con Aprendizaje Federado y Blockchain como mecanismos de privacidad y trazabilidad,Enviado,,,30/11/2025,
Iván Sevillano,"Sevillano-García, I., Luengo, J., & Herrera, F. (2026). STOOD-X: Explainable Out-of-Distribution Detection via Nonparametric Statistical Testing on Large-Scale Datasets. Pattern Recognition, 113254.",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Publicado,https://www.sciencedirect.com/science/article/pii/S0031320326002190?casa_token=81toa4yW2q0AAAAA:ut0niKE_cSmyeXzdlmu7e0Qvyt4ZGzHfeKc0Onqw-f7IiCUGH37Pe2OejvktX7bpai5ufNFxOKs,minor revision,3/04/2025,
Isaac,"T.R. Cargan, D. Landa-Silva, I. Triguero. Directed Perturbations for Efficient Learning of Surrogate Losses. IJCNN 2025",Congreso,A2.4: Proporcionando robustez a modelos de deep learning,Publicado,https://ieeexplore.ieee.org/document/11227956,dudas de actividad,,30/06/2025
Guillermo,"Garzón, I., Gomez-Trenado, G., & Damas, S. (2026). Meta-Learning for Few-Shot Spectroscopic Regression under Distribution Shifts in Smart Agriculture. IEEE CAI 2026",Congreso,A3.3.Explicando IAPG: AutoML y Few-shot  Learning,Publicado,,Congreso pendiente de celebración,22/01/2026,16/02/2026
